Parameter,ML,min,max,units
kA,0.66,0.55,0.77,yr-1
kW,4.3,3.3,5.9,yr-1
kE,0.35,0.27,0.43,yr-1
kN,0.22,0.16,0.28,yr-1
p1,0.32,0.24,0.4,--
p2,0.01,0,0.15,--
p3,0.93,0.82,0.96,--
p4,0.34,0.19,0.52,--
p5,0,0,0.07,--
p6,0,0,0.07,--
p7,0,0,0.01,--
p8,0,0,0.01,--
p9,0.01,0,0.08,--
p10 ,0,0,0.01,--
p11,0,0,0.06,--
p12,0.92,0.77,0.96,--
beta_1,7.6,0.056,0.096,C-1
beta_2,-8.9,-0.00154,-0.00024,C-2
gamma,-1.27,-1.47,-1.07,m-1
pH,0.04,0.031,0.049,--
kH,3.3,0.0026,0.0039,yr-1
